date,country,D,H,I,S,M
2021-04-01,Argentina,0.0,30.0,12.0,0.0,0.0
2021-04-02,Argentina,0.0,25.0,17.0,0.0,0.0
2021-04-03,Argentina,0.0,22.0,20.0,0.0,0.0
2021-04-04,Argentina,0.0,18.0,24.0,0.0,0.0
2021-04-05,Argentina,0.0,14.0,28.0,0.0,0.0
2021-04-06,Argentina,0.0,12.0,18.0,4.0,8.0
2021-04-07,Argentina,0.0,10.0,15.0,7.0,10.0
2021-04-08,Argentina,0.0,7.0,15.0,9.0,11.0
2021-04-09,Argentina,0.0,7.0,11.0,10.0,14.0
2021-04-10,Argentina,0.0,5.0,9.0,13.0,15.0
2021-04-11,Argentina,0.0,4.0,8.0,14.0,16.0
2021-04-12,Argentina,0.0,4.0,6.0,16.0,16.0
2021-04-13,Argentina,0.0,4.0,3.0,19.0,16.0
2021-04-14,Argentina,0.0,4.0,3.0,19.0,16.0
2021-04-15,Argentina,0.0,2.0,3.0,20.0,17.0
2021-04-16,Argentina,0.0,2.0,2.0,21.0,17.0
2021-04-17,Argentina,0.0,2.0,2.0,21.0,17.0
2021-04-18,Argentina,0.0,2.0,2.0,21.0,17.0
2021-04-19,Argentina,0.0,1.0,3.0,21.0,17.0
2021-04-20,Argentina,0.0,1.0,1.0,22.0,18.0
2021-04-21,Argentina,1.0,1.0,1.0,18.0,21.0
2021-04-22,Argentina,4.0,1.0,1.0,15.0,21.0
2021-04-23,Argentina,5.0,1.0,1.0,13.0,22.0
2021-04-24,Argentina,5.0,1.0,0.0,12.0,24.0
2021-04-25,Argentina,5.0,1.0,0.0,9.0,27.0
2021-04-26,Argentina,5.0,0.0,1.0,8.0,28.0
2021-04-27,Argentina,5.0,0.0,1.0,6.0,30.0
2021-04-28,Argentina,5.0,0.0,1.0,3.0,33.0
2021-04-29,Argentina,5.0,0.0,1.0,3.0,33.0
2021-04-30,Argentina,6.0,0.0,1.0,2.0,33.0
2021-05-01,Argentina,6.0,0.0,0.0,1.0,35.0
2021-05-02,Argentina,6.0,0.0,0.0,1.0,35.0
2021-05-03,Argentina,6.0,0.0,0.0,1.0,35.0
2021-05-04,Argentina,6.0,0.0,0.0,1.0,35.0
2021-05-05,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-06,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-07,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-08,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-09,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-10,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-11,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-12,Argentina,6.0,0.0,0.0,0.0,36.0
2021-05-13,Argentina,6.0,0.0,0.0,0.0,36.0
